timestamp,open,high,low,close,volume
2023-12-01,59.29,61.86,58.63,59.81,619298.0374459
2023-12-02,59.8,63.89,59.73,63.74,420371.27591251
2023-12-03,63.72,65.56,62.26,62.98,675154.97794137
2023-12-04,63.01,65.2,56.89,61.57,1060565.39443554
2023-12-05,61.57,62.52,59.13,60.95,589972.18594951
2023-12-06,61.0,66.67,61.0,61.91,895607.78075175
2023-12-07,61.88,69.36,61.71,67.81,985811.40056618
2023-12-08,67.82,75.34,67.82,74.9,1065704.2020473
2023-12-09,74.9,77.72,71.56,72.32,863068.94887518
2023-12-10,72.34,74.93,70.73,74.77,503076.43754348
2023-12-11,74.8,74.9,66.0,70.26,1185628.53362785
2023-12-12,70.25,72.36,65.75,68.56,718725.05127443
2023-12-13,68.54,76.9,63.78,70.64,901559.17696136
2023-12-14,70.77,76.27,67.98,75.66,805852.25925951
2023-12-15,75.74,79.45,72.12,72.51,784423.04568405
2023-12-16,72.49,77.18,71.25,73.68,601324.12647186
2023-12-17,73.75,74.89,70.36,70.77,496229.69101974
2023-12-18,70.74,75.65,67.25,74.4,928753.76429925
2023-12-19,74.41,76.26,71.79,73.04,665950.84823283
2023-12-20,73.01,84.11,72.99,82.19,1507654.61804501
2023-12-21,82.34,95.59,81.04,93.88,1242099.14088465
2023-12-22,93.86,99.49,90.42,98.06,1413968.66705921
2023-12-23,97.95,110.0,92.85,107.97,1024989.08693918
2023-12-24,107.83,118.13,107.5,112.48,1558114.66862449
2023-12-25,112.58,126.13,108.0,120.96,1231482.31455339
2023-12-26,120.98,121.49,102.04,112.55,1447216.01951515
2023-12-27,112.53,115.41,104.77,106.94,1033648.63641082
2023-12-28,106.97,109.65,97.07,101.93,1053228.44424161
2023-12-29,101.92,109.9,93.5,106.24,1223413.36131294
2023-12-30,106.38,107.41,100.74,101.85,273168.13947322
2023-12-31,101.84,105.16,99.5,101.85,375593.34579454
2024-01-01,101.74,109.89,101.5,109.89,424100.37730843
2024-01-02,109.9,117.0,106.03,106.81,889539.57362983
2024-01-03,106.81,110.04,71.0,98.62,1242110.57907254
2024-01-04,98.56,108.26,96.72,105.03,844957.5425462
